programID,Date,eventType,Venue,Location,Time
4134,1857-11-21T05:00:00Z,Subscription Season,Academy of Music,"Manhattan, NY",8:00PM
4814,1858-01-09T05:00:00Z,Subscription Season,Academy of Music,"Manhattan, NY",8:00PM
6185,1858-03-06T05:00:00Z,Subscription Season,Academy of Music,"Manhattan, NY",8:00PM
3150,1858-04-24T05:00:00Z,Subscription Season,Academy of Music,"Manhattan, NY",8:00PM
2117,1858-11-20T05:00:00Z,Subscription Season,Niblo's Garden,"Manhattan, NY",8:00PM
2785,1859-01-08T05:00:00Z,Subscription Season,Niblo's Garden,"Manhattan, NY",8:00PM
7145,1859-02-12T05:00:00Z,Subscription Season,Niblo's Garden,"Manhattan, NY",8:00PM
4122,1859-03-26T05:00:00Z,Subscription Season,Niblo's Garden,"Manhattan, NY",8:00PM
1083,1859-04-30T05:00:00Z,Subscription Season,Niblo's Garden,"Manhattan, NY",8:00PM
3007,1859-11-19T05:00:00Z,Subscription Season,Academy of Music,"Manhattan, NY",8:00PM
3679,1860-01-07T05:00:00Z,Subscription Season,Academy of Music,"Manhattan, NY",8:00PM
663,1860-02-11T05:00:00Z,Subscription Season,Academy of Music,"Manhattan, NY",8:00PM
5011,1860-03-24T05:00:00Z,Subscription Season,Academy of Music,"Manhattan, NY",8:00PM
2014,1860-04-28T05:00:00Z,Subscription Season,Academy of Music,"Manhattan, NY",8:00PM
3879,1860-11-10T05:00:00Z,Subscription Season,Academy of Music,"Manhattan, NY",8:00PM
858,1860-12-22T05:00:00Z,Subscription Season,Academy of Music,"Manhattan, NY",8:00PM
1541,1861-02-02T05:00:00Z,Subscription Season,Academy of Music,"Manhattan, NY",8:00PM
5937,1861-03-16T05:00:00Z,Subscription Season,Academy of Music,"Manhattan, NY",8:00PM
2887,1861-04-20T05:00:00Z,Subscription Season,Academy of Music,"Manhattan, NY",8:00PM
11479,1861-05-25T05:00:00Z,Special,Academy of Music,"Manhattan, NY",7:30PM
4794,1861-11-09T05:00:00Z,Subscription Season,Irving Hall,"Manhattan, NY",8:00PM
1738,1861-12-21T05:00:00Z,Subscription Season,Irving Hall,"Manhattan, NY",8:00PM
2457,1862-02-01T05:00:00Z,Subscription Season,Irving Hall,"Manhattan, NY",None
6795,1862-03-15T05:00:00Z,Subscription Season,Irving Hall,"Manhattan, NY",8:00PM
3788,1862-04-26T05:00:00Z,Subscription Season,Irving Hall,"Manhattan, NY",8:00PM
2737,1862-11-08T05:00:00Z,Subscription Season,Irving Hall,"Manhattan, NY",8:00PM
7100,1862-12-20T05:00:00Z,Subscription Season,Irving Hall,"Manhattan, NY",8:00PM
3446,1863-01-31T05:00:00Z,Subscription Season,Irving Hall,"Manhattan, NY",8:00PM
4783,1863-03-14T05:00:00Z,Subscription Season,Irving Hall,"Manhattan, NY",8:00PM
1726,1863-04-25T05:00:00Z,Subscription Season,Irving Hall,"Manhattan, NY",8:00PM
3648,1863-11-07T05:00:00Z,Subscription Season,Academy of Music,"Manhattan, NY",8:00PM
618,1863-12-19T05:00:00Z,Subscription Season,Academy of Music,"Manhattan, NY",8:00PM
4331,1864-01-30T05:00:00Z,Subscription Season,Academy of Music,"Manhattan, NY",8:00PM
5659,1864-03-12T05:00:00Z,Subscription Season,Academy of Music,"Manhattan, NY",8:00PM
4442,1864-04-02T05:00:00Z,Subscription Season,Academy of Music,"Manhattan, NY",8:00PM
2625,1864-04-23T05:00:00Z,Subscription Season,Academy of Music,"Manhattan, NY",8:00PM
4537,1864-11-05T05:00:00Z,Subscription Season,Academy of Music,"Manhattan, NY",8:00PM
1487,1864-12-17T05:00:00Z,Subscription Season,Academy of Music,"Manhattan, NY",8:00PM
5230,1865-01-28T05:00:00Z,Subscription Season,Academy of Music,"Manhattan, NY",8:00PM
6560,1865-03-11T05:00:00Z,Subscription Season,Academy of Music,"Manhattan, NY",8:00PM
3526,1865-04-29T05:00:00Z,Subscription Season,Academy of Music,"Manhattan, NY",8:00PM
5442,1865-11-04T05:00:00Z,Subscription Season,Academy of Music,"Manhattan, NY",8:00PM
2423,1865-12-16T05:00:00Z,Subscription Season,Academy of Music,"Manhattan, NY",8:00PM
6144,1866-01-27T05:00:00Z,Subscription Season,Academy of Music,"Manhattan, NY",8:00PM
76,1866-03-10T05:00:00Z,Subscription Season,Academy of Music,"Manhattan, NY",8:00PM
4433,1866-04-21T05:00:00Z,Subscription Season,Academy of Music,"Manhattan, NY",8:00PM
3403,1866-11-17T05:00:00Z,Subscription Season,Steinway Hall,"Manhattan, NY",8:00PM
349,1866-12-15T05:00:00Z,Subscription Season,Steinway Hall,"Manhattan, NY",8:00PM
4096,1867-01-26T05:00:00Z,Subscription Season,Steinway Hall,"Manhattan, NY",8:00PM
5423,1867-03-09T05:00:00Z,Subscription Season,Steinway Hall,"Manhattan, NY",8:00PM
2397,1867-04-20T05:00:00Z,Subscription Season,Steinway Hall,"Manhattan, NY",8:00PM
6733,1867-05-04T05:00:00Z,Subscription Season,Steinway Hall,"Manhattan, NY",8:00PM
4299,1867-11-16T05:00:00Z,Subscription Season,Academy of Music,"Manhattan, NY",8:00PM
1229,1867-12-21T05:00:00Z,Subscription Season,Academy of Music,"Manhattan, NY",8:00PM
1965,1868-02-01T05:00:00Z,Subscription Season,Academy of Music,"Manhattan, NY",8:00PM
6303,1868-03-07T05:00:00Z,Subscription Season,Academy of Music,"Manhattan, NY",8:00PM
3291,1868-04-18T05:00:00Z,Subscription Season,Academy of Music,"Manhattan, NY",8:00PM
5193,1868-11-28T05:00:00Z,Subscription Season,Academy of Music,"Manhattan, NY",8:00PM
5879,1869-01-09T05:00:00Z,Subscription Season,Academy of Music,"Manhattan, NY",8:00PM
2845,1869-02-06T05:00:00Z,Subscription Season,Academy of Music,"Manhattan, NY",8:00PM
7193,1869-03-06T05:00:00Z,Subscription Season,Academy of Music,"Manhattan, NY",8:00PM
4196,1869-04-10T05:00:00Z,Subscription Season,Academy of Music,"Manhattan, NY",8:00PM
1138,1869-05-08T05:00:00Z,Subscription Season,Academy of Music,"Manhattan, NY",8:00PM
6098,1869-11-27T05:00:00Z,Subscription Season,Academy of Music,"Manhattan, NY",8:00PM
6753,1870-01-08T05:00:00Z,Subscription Season,Academy of Music,"Manhattan, NY",8:00PM
3737,1870-02-05T05:00:00Z,Subscription Season,Academy of Music,"Manhattan, NY",8:00PM
710,1870-03-05T05:00:00Z,Subscription Season,Academy of Music,"Manhattan, NY",8:00PM
710,1870-03-05T05:00:00Z,Subscription Season,Academy of Music,"Manhattan, NY",8:00PM
5080,1870-04-02T05:00:00Z,Subscription Season,Academy of Music,"Manhattan, NY",8:00PM
2096,1870-05-07T05:00:00Z,Subscription Season,Academy of Music,"Manhattan, NY",8:00PM
6945,1870-11-26T05:00:00Z,Subscription Season,Academy of Music,"Manhattan, NY",8:00PM
5760,1870-12-17T05:00:00Z,Subscription Season,Academy of Music,"Manhattan, NY",8:00PM
273,1871-01-07T05:00:00Z,Subscription Season,Academy of Music,"Manhattan, NY",8:00PM
4634,1871-02-04T05:00:00Z,Subscription Season,Academy of Music,"Manhattan, NY",8:00PM
1613,1871-03-04T05:00:00Z,Subscription Season,Academy of Music,"Manhattan, NY",8:00PM
6034,1871-04-01T05:00:00Z,Subscription Season,Academy of Music,"Manhattan, NY",8:00PM
2993,1871-05-06T05:00:00Z,Subscription Season,Academy of Music,"Manhattan, NY",8:00PM
1901,1871-12-02T05:00:00Z,Subscription Season,Academy of Music,"Manhattan, NY",8:00PM
5615,1872-01-06T05:00:00Z,Subscription Season,Academy of Music,"Manhattan, NY",8:00PM
2591,1872-02-03T05:00:00Z,Subscription Season,Academy of Music,"Manhattan, NY",8:00PM
6927,1872-03-02T05:00:00Z,Subscription Season,Academy of Music,"Manhattan, NY",8:00PM
3925,1872-04-06T05:00:00Z,Subscription Season,Academy of Music,"Manhattan, NY",8:00PM
894,1872-05-04T05:00:00Z,Subscription Season,Academy of Music,"Manhattan, NY",8:00PM
5828,1872-11-16T05:00:00Z,Subscription Season,Academy of Music,"Manhattan, NY",8:00PM
2804,1872-12-14T05:00:00Z,Subscription Season,Academy of Music,"Manhattan, NY",8:00PM
6521,1873-01-18T05:00:00Z,Subscription Season,Academy of Music,"Manhattan, NY",8:00PM
3498,1873-02-15T05:00:00Z,Subscription Season,Academy of Music,"Manhattan, NY",8:00PM
437,1873-03-15T05:00:00Z,Subscription Season,Academy of Music,"Manhattan, NY",8:00PM
4822,1873-04-19T05:00:00Z,Subscription Season,Academy of Music,"Manhattan, NY",8:00PM
6713,1873-11-15T05:00:00Z,Subscription Season,Academy of Music,"Manhattan, NY",8:00PM
3697,1873-12-13T05:00:00Z,Subscription Season,Academy of Music,"Manhattan, NY",8:00PM
16,1874-01-17T05:00:00Z,Subscription Season,Academy of Music,"Manhattan, NY",8:00PM
4378,1874-02-14T05:00:00Z,Subscription Season,Academy of Music,"Manhattan, NY",8:00PM
1328,1874-03-14T05:00:00Z,Subscription Season,Academy of Music,"Manhattan, NY",8:00PM
5735,1874-04-18T05:00:00Z,Subscription Season,Academy of Music,"Manhattan, NY",8:00PM
238,1874-11-14T05:00:00Z,Subscription Season,Academy of Music,"Manhattan, NY",8:00PM
4603,1874-12-12T05:00:00Z,Subscription Season,Academy of Music,"Manhattan, NY",8:00PM
907,1875-01-23T05:00:00Z,Subscription Season,Academy of Music,"Manhattan, NY",8:00PM
5295,1875-02-20T05:00:00Z,Subscription Season,Academy of Music,"Manhattan, NY",8:00PM
2273,1875-03-20T05:00:00Z,Subscription Season,Academy of Music,"Manhattan, NY",8:00PM
6639,1875-04-24T05:00:00Z,Subscription Season,Academy of Music,"Manhattan, NY",8:00PM
5578,1875-11-13T05:00:00Z,Subscription Season,Academy of Music,"Manhattan, NY",8:00PM
2558,1875-12-11T05:00:00Z,Subscription Season,Academy of Music,"Manhattan, NY",8:00PM
6264,1876-01-22T05:00:00Z,Subscription Season,Academy of Music,"Manhattan, NY",8:00PM
3240,1876-02-19T05:00:00Z,Subscription Season,Academy of Music,"Manhattan, NY",8:00PM
212,1876-03-18T05:00:00Z,Subscription Season,Academy of Music,"Manhattan, NY",8:00PM
4583,1876-04-22T05:00:00Z,Subscription Season,Academy of Music,"Manhattan, NY",8:00PM
6488,1876-11-04T05:00:00Z,Subscription Season,Academy of Music,"Manhattan, NY",8:00PM
11481,1876-11-12T05:00:00Z,Special,Steinway Hall,"Manhattan, NY",8:00PM
11474,1876-11-14T05:00:00Z,Special,Steinway Hall,"Manhattan, NY",8:00PM
3469,1876-12-09T05:00:00Z,Subscription Season,Academy of Music,"Manhattan, NY",8:00PM
7159,1877-01-13T05:00:00Z,Subscription Season,Academy of Music,"Manhattan, NY",8:00PM
